team,year,events,wins,podiums,avg_rank,avg_score,best_rank,worst_rank,win_rate,podium_rate
4Aces GC,2023,13,5,8,3.85,-19.08,1,12,0.385,0.615
4Aces GC,2024,13,0,1,8.54,-10.23,3,12,0.0,0.077
4Aces GC,2025,13,0,6,5.15,-15.08,2,11,0.0,0.462
4Aces GC,2026,2,0,1,3.5,-18.5,3,4,0.0,0.5
Cleeks Golf Club,2022,5,0,1,5.0,-10.2,3,7,0.0,0.2
Cleeks Golf Club,2023,13,0,1,8.85,0.0,3,12,0.0,0.077
Cleeks Golf Club,2024,13,1,2,7.38,-13.08,1,12,0.077,0.154
Cleeks Golf Club,2025,13,0,0,9.92,2.15,6,12,0.0,0.0
Cleeks Golf Club,2026,2,0,0,11.0,-9.0,10,12,0.0,0.0
Crushers GC,2022,5,1,5,2.2,-20.2,1,3,0.2,1.0
Crushers GC,2023,13,2,5,4.62,-16.46,1,10,0.154,0.385
Crushers GC,2024,13,2,7,4.08,-21.92,1,10,0.154,0.538
Crushers GC,2025,13,3,4,4.08,-18.69,1,9,0.231,0.308
Crushers GC,2026,2,0,0,11.0,-8.0,8,14,0.0,0.0
Fireballs GC,2022,5,1,4,2.8,-16.4,1,6,0.2,0.8
Fireballs GC,2023,13,1,4,5.38,-13.92,1,9,0.077,0.308
Fireballs GC,2024,13,1,5,4.69,-19.15,1,11,0.077,0.385
Fireballs GC,2025,13,3,6,4.69,-13.85,1,12,0.231,0.462
Fireballs GC,2026,2,0,0,5.5,-15.0,4,7,0.0,0.0
HyFlyers GC,2023,13,0,2,7.0,-8.77,3,10,0.0,0.154
HyFlyers GC,2024,13,0,1,9.23,-6.92,2,13,0.0,0.077
HyFlyers GC,2025,13,0,1,7.77,-6.38,3,12,0.0,0.077
HyFlyers GC,2026,2,0,0,10.0,-7.0,6,14,0.0,0.0
Korean Golf Club,2022,5,0,1,7.0,1.2,3,8,0.0,0.2
Korean Golf Club,2023,13,0,1,10.23,1.69,3,12,0.0,0.077
Korean Golf Club,2024,13,0,0,9.62,-5.62,6,13,0.0,0.0
Korean Golf Club,2025,13,0,0,11.23,5.08,8,13,0.0,0.0
Korean Golf Club,2026,2,0,0,10.5,-8.0,9,12,0.0,0.0
Legion XIII,2024,13,4,4,5.15,-19.08,1,11,0.308,0.308
Legion XIII,2025,13,4,8,2.92,-20.54,1,6,0.308,0.615
Legion XIII,2026,2,0,0,9.5,-10.5,9,10,0.0,0.0
Majesticks Golf Club,2022,5,0,2,4.8,-11.0,2,7,0.0,0.4
Majesticks Golf Club,2023,13,0,0,7.69,-6.62,4,12,0.0,0.0
Majesticks Golf Club,2024,13,0,0,9.31,-4.92,4,13,0.0,0.0
Majesticks Golf Club,2025,13,0,0,10.31,2.15,5,13,0.0,0.0
Majesticks Golf Club,2026,2,0,0,11.0,-7.5,11,11,0.0,0.0
RangeGoats GC,2023,13,1,6,4.08,-17.38,1,8,0.077,0.462
RangeGoats GC,2024,13,0,2,8.23,-9.77,2,13,0.0,0.154
RangeGoats GC,2025,13,0,1,8.31,-2.92,2,13,0.0,0.077
RangeGoats GC,2026,2,0,0,6.0,-16.0,5,7,0.0,0.0
Ripper GC,2023,13,1,4,6.77,-10.85,1,11,0.077,0.308
Ripper GC,2024,13,3,6,5.31,-17.46,1,12,0.231,0.462
Ripper GC,2025,13,1,4,6.46,-9.31,1,13,0.077,0.308
Ripper GC,2026,2,0,2,2.5,-20.5,2,3,0.0,1.0
Smash GC,2022,5,2,2,4.2,-11.8,1,7,0.4,0.4
Smash GC,2023,13,0,1,8.31,-6.0,3,11,0.0,0.077
Smash GC,2024,13,2,4,6.31,-17.38,1,12,0.154,0.308
Smash GC,2025,13,0,3,7.85,-6.62,2,13,0.0,0.231
Smash GC,2026,2,0,0,10.0,-8.5,7,13,0.0,0.0
Southern Guards GC,2022,5,1,2,4.4,-14.8,1,8,0.2,0.4
Southern Guards GC,2023,13,1,5,5.54,-13.69,1,11,0.077,0.385
Southern Guards GC,2024,13,2,4,6.92,-14.62,1,13,0.154,0.308
Southern Guards GC,2025,13,1,3,5.77,-12.69,1,11,0.077,0.231
Southern Guards GC,2026,2,1,1,3.0,-19.5,1,5,0.5,0.5
Torque GC,2022,5,0,0,5.0,-5.2,4,7,0.0,0.0
Torque GC,2023,13,4,7,3.92,-17.77,1,10,0.308,0.538
Torque GC,2024,13,0,5,4.38,-20.77,3,10,0.0,0.385
Torque GC,2025,13,2,6,4.85,-14.92,1,12,0.154,0.462
Torque GC,2026,2,0,1,3.5,-18.5,2,5,0.0,0.5
Wild Card,2026,2,1,1,6.5,-15.5,1,12,0.5,0.5
