playerName,first_liv_yr,pga_baseline,liv_avg_sg,delta_sg,verdict
Abraham Ancer,2022,1.07,0.5650729720000001,-0.504927028,Declined
Anirban Lahiri,2022,-0.29850000000000004,0.40602238800000007,0.7045223880000001,Improved
Branden Grace,2022,0.218,0.459363098,0.24136309800000003,Improved
Brendan Steele,2023,0.229,0.3415661275,0.11256612749999997,Improved
Brooks Koepka,2022,0.8885,0.3882162825,-0.5002837174999999,Declined
Bryson DeChambeau,2022,1.6945000000000001,0.8207971900000001,-0.87370281,Declined
Bubba Watson,2023,0.541,0.009094017500000023,-0.5319059825,Declined
Byeong Hun An,2026,0.1735,0.99581665,0.82231665,Improved
Cameron Smith,2022,0.626,0.7741750999999999,0.1481750999999999,Improved
Cameron Tringale,2022,0.9335,0.275881675,-0.6576183250000001,Declined
Carlos Ortiz,2022,0.4285,0.459960986,0.031460986000000024,Maintained
Charl Schwartzel,2022,0.386,0.36049637681999996,-0.025503623180000046,Maintained
Charles Howell III,2022,0.28500000000000003,0.39651245,0.11151244999999999,Improved
Danny Lee,2023,-0.5840000000000001,-0.10859637125,0.4754036287500001,Improved
Graeme McDowell,2022,-0.788,0.1273809864,0.9153809864,Improved
Harold Varner III,2022,0.896,0.20754823300000003,-0.688451767,Declined
Ian Poulter,2022,0.754,0.120841216,-0.633158784,Declined
Jason Kokrak,2022,0.6729999999999999,0.5432357158000001,-0.12976428419999986,Maintained
Joaquin Niemann,2022,0.8130000000000001,0.73239522,-0.08060478000000004,Maintained
Jon Rahm,2024,1.6675,1.3816174333333333,-0.28588256666666667,Declined
Kevin Na,2022,0.609,0.017338997499999995,-0.5916610025,Declined
Lee Westwood,2022,0.271,-0.0889225975,-0.3599225975,Declined
Louis Oosthuizen,2022,0.7695,0.4153058186,-0.3541941814,Declined
Lucas Herbert,2024,-0.266,0.5286206333333333,0.7946206333333333,Improved
Marc Leishman,2022,-0.0935,0.6249023764999999,0.7184023764999999,Improved
Matt Jones,2022,0.07550000000000001,0.07665443,0.001154429999999984,Maintained
Matthew Wolff,2022,0.16149999999999998,-0.1498134575,-0.31131345749999995,Declined
Mito Pereira,2023,1.111,-0.07298022666666663,-1.1839802266666666,Declined
Paul Casey,2022,0.8255,0.415311408,-0.410188592,Declined
Peter Uihlein,2022,-0.154,0.23587410749999999,0.38987410749999996,Improved
Phil Mickelson,2022,-0.14750000000000002,-0.24812716,-0.10062716,Maintained
Sergio Garcia,2022,0.6595,0.366703413,-0.292796587,Declined
Talor Gooch,2022,0.5515,0.7945241925000001,0.24302419250000007,Improved
Tyrrell Hatton,2024,1.3559999999999999,0.7715802433333333,-0.5844197566666666,Declined
Victor Perez,2026,0.5249999999999999,0.39007887,-0.1349211299999999,Maintained
